mountain,course,from,to,minutes,source
"羅臼岳","羅臼温泉登山口ルート","羅臼温泉登山口","羅臼岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"オプタテシケ山","美瑛富士登山口ルート","美瑛富士登山口","オプタテシケ山","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"オプタテシケ山","望岳台ルート","望岳台","オプタテシケ山","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"十勝岳","吹上温泉登山口ルート","吹上温泉登山口","十勝岳","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"ニペソツ山","幌加温泉コース登山口ルート","幌加温泉コース登山口","ニペソツ山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"幌尻岳","とよぬか山荘・シャトルバス乗り場ルート","とよぬか山荘・シャトルバス乗り場","幌尻岳","900","推定CT（固定座標・標高差＋確認済みCT回帰）"
"カムイエクウチカウシ山","札内川ヒュッテ駐車場ルート","札内川ヒュッテ駐車場","カムイエクウチカウシ山","490","推定CT（固定座標・標高差＋確認済みCT回帰）"
"ペテガリ岳","神威山荘（ペテガリ岳アプローチ起点）ルート","神威山荘（ペテガリ岳アプローチ起点）","ペテガリ岳","390","推定CT（固定座標・標高差＋確認済みCT回帰）"
"神威岳","神威山荘・神威岳登山口ルート","神威山荘・神威岳登山口","神威岳","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
"芦別岳","新道登山口ルート","新道登山口","芦別岳","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"芦別岳","山部自然公園太陽の里 芦別岳登山口ルート","山部自然公園太陽の里 芦別岳登山口","芦別岳","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"余市岳","キロロリゾート・赤井川コース入口ルート","キロロリゾート・赤井川コース入口","余市岳","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"後方羊蹄山","京極登山口ルート","京極登山口","後方羊蹄山（羊蹄山）","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"渡島駒ヶ岳","赤井川登山口・6合目駐車場ルート","赤井川登山口・6合目駐車場","渡島駒ヶ岳（剣ヶ峯）","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大千軒岳","奥二股登山口駐車場ルート","奥二股登山口駐車場","大千軒岳","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"八甲田山","八甲田ロープウェー山頂公園駅ルート","八甲田ロープウェー山頂公園駅","八甲田山（大岳）","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"乳頭山（烏帽子岳）","滝ノ上温泉・乳頭山登山口ルート","滝ノ上温泉・乳頭山登山口","乳頭山（烏帽子岳）","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"乳頭山（烏帽子岳）","黒湯温泉ルート","黒湯温泉","乳頭山（烏帽子岳）","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"岩手山","御神坂登山口ルート","御神坂登山口","岩手山","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"岩手山","馬返し登山口ルート","馬返し登山口","岩手山","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"姫神山","一本杉登山口ルート","一本杉登山口","姫神山","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"五葉山","赤坂峠登山口ルート","赤坂峠登山口","五葉山","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"和賀岳","甘露水口・薬師岳登山口駐車場ルート","甘露水口・薬師岳登山口駐車場","和賀岳","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
