mountain,course,from,to,oldEstimatedMinutes,confirmedMinutes,source,sourceType
"利尻山","沓形登山口ルート","利尻山","沓形登山口","200","240","環境省・利尻山沓形コース参考プラン（下り4時間45分のうち休憩45分を除いた歩行4時間）","official"
"斜里岳","清岳荘登山口ルート","斜里岳","清岳荘登山口","140","130","北海道・斜里岳道立自然公園 清里コース新道（下り2時間10分）","official"
"樽前山","7合目ルート","樽前山","7合目登山口","80","40","YAMAP標準モデル・樽前山7合目登山口往復（東山山頂→7合目駐車場 40分）","yamap"
"後方羊蹄山","京極登山口ルート","後方羊蹄山（羊蹄山）","京極登山口","210","197","YAMAP標準モデル・京極登山口-羊蹄山往復（山頂→京極登山口 3時間17分）","yamap"
"岩手山","御神坂登山口ルート","岩手山","御神坂登山口","260","211","YAMAP標準モデル・御神坂登山口-岩手山往復（山頂→御神坂駐車場 3時間31分）","yamap"
"早池峰山","小田越ルート","早池峰山","小田越登山口","110","129","YAMAP標準モデル・小田越コース（山頂→小田越 2時間09分）","yamap"
"蔵王山（熊野岳）","蔵王ロープウェイ地蔵山頂駅ルート","蔵王山（熊野岳）","蔵王ロープウェイ地蔵山頂駅","70","35","YAMAP標準モデル・地蔵山頂駅-蔵王山往復（熊野岳→地蔵山頂駅 35分）","yamap"
"安達太良山","奥岳・あだたら山ロープウェイルート","安達太良山","奥岳登山口・あだたら山ロープウェイ","170","93","YAMAP標準モデル・奥岳-安達太良山往復（山頂→奥岳登山口 1時間33分）","yamap"
"磐梯山","猪苗代登山口（猪苗代スキー場）ルート","磐梯山","猪苗代登山口（猪苗代スキー場）","180","166","YAMAP標準モデル・猪苗代登山口-赤埴山-磐梯山往復（山頂→猪苗代登山口 2時間46分）","yamap"
"奥白根山","菅沼登山口ルート","奥白根山（日光白根山）","菅沼登山口","130","79","YAMAP標準モデル・菅沼-弥陀ヶ池-日光白根山往復（山頂→菅沼 1時間19分）","yamap"
"赤城山（黒檜山）","黒檜山ルート","赤城山（黒檜山）","黒檜山登山口","60","73","YAMAP標準モデル・黒檜山往復（山頂→黒檜山登山口 1時間13分）","yamap"
"谷川岳","天神平ルート","谷川岳（オキノ耳）","天神平","130","114","YAMAP標準モデル・天神尾根（オキノ耳→登山入口112分＋天神平駅2分）","yamap"
"四阿山","菅平牧場ルート","四阿山","菅平牧場登山口","190","135","YAMAP標準モデル・四阿山登山口-四阿山往復（山頂→登山口 2時間15分）","yamap"
"櫛形山","池ノ茶屋登山口ルート","櫛形山","池ノ茶屋登山口","30","35","YAMAP標準モデル・池の茶屋林道登山口-櫛形山往復（山頂→駐車場 35分）","yamap"
"蓬来山","びわ湖バレイ山頂駅ルート","蓬来山","びわ湖バレイ山頂駅","50","13","YAMAP標準モデル・打見山-蓬莱山往復（蓬莱山→ロープウェイ山頂駅 13分）","yamap"
"愛宕山","清滝 愛宕山登山口ルート","愛宕山","清滝 愛宕山登山口","160","134","YAMAP標準モデル・愛宕山表参道往復（山頂→表登山道入口 2時間14分）","yamap"
"六甲山","有馬温泉 六甲山登山口ルート","六甲山","有馬温泉 六甲山登山口","130","94","YAMAP標準モデル・六甲山〜有馬温泉（山頂→有馬側登山口 1時間34分）","yamap"
"三瓶山","西の原登山口ルート","三瓶山（男三瓶山）","西の原登山口","110","106","YAMAP標準モデル・西の原登山口-男三瓶山往復（山頂→西の原駐車場 1時間46分）","yamap"
"剣山","見ノ越 剣山登山口ルート","剣山","見ノ越 剣山登山口","80","76","YAMAP標準モデル・見ノ越登山口-剣山往復（山頂→見ノ越 1時間16分）","yamap"
"剣山","剣山観光登山リフト西島駅ルート","剣山","剣山観光登山リフト西島駅","40","29","YAMAP標準モデル・見ノ越登山口-剣山往復（山頂→西島駅 29分）","yamap"
"雲仙岳（普賢岳）","仁田峠第一展望所駐車場・普賢岳登山口ルート","雲仙岳（普賢岳）","仁田峠第一展望所駐車場・普賢岳登山口","70","49","YAMAP標準モデル・普賢岳往復（普賢岳→紅葉茶屋→あざみ谷→仁田峠駐車場 49分）","yamap"
"鶴見岳","火男火売神社登山口駐車場ルート","鶴見岳","火男火売神社登山口駐車場","90","100","YAMAP標準モデル・火男火売神社-鶴見岳往復（山頂→登山口駐車場 1時間40分）","yamap"
"阿蘇山（高岳）","仙酔峡駐車場・仙酔峡登山口ルート","阿蘇山（高岳）","仙酔峡駐車場・仙酔峡登山口","90","109","YAMAP標準モデル・仙酔峡登山口-中岳-高岳往復（高岳→仙酔峡駐車場 1時間49分）","yamap"
