mountain,course,from,to,estimated_minutes,reason_kept_estimated
オプタテシケ山,望岳台ルート,望岳台,オプタテシケ山,400,公開標準CTの主起点が美瑛富士登山口で、固定起点の望岳台と不一致
渡島駒ヶ岳,赤井川登山口・6合目駐車場ルート,赤井川登山口・6合目駐車場,渡島駒ヶ岳（剣ヶ峯）,160,剣ヶ峯は入山規制・一般登山の標準CTとして固定しにくい
燧ヶ岳,小沢平登山口ルート,小沢平登山口,燧ヶ岳（柴安嵓）,380,小沢平起点から柴安嵓までの標準CTを直接確認できず
男鹿岳,深山園地・塩那道路ゲートルート,深山園地・塩那道路ゲート,男鹿岳,290,塩那道路ゲート側は廃道・立入条件が特殊
景鶴山,鳩待峠（尾瀬側起点）ルート,鳩待峠（尾瀬側起点）,景鶴山,280,一般登山道がなく残雪期中心のルート
草津白根山,白根火山・湯釜側起点ルート,白根火山・湯釜側起点,草津白根山（白根山）,60,火山規制の影響があり一般ルートCTとして固定しにくい
諏訪山,浜平登山口ルート,浜平登山口,諏訪山（上野村）,220,浜平起点の標準CT根拠を十分に確認できず
朝日岳（群馬）,湯檜曽公園・白毛門登山口側ルート,湯檜曽公園・白毛門登山口側,朝日岳（群馬）,400,固定起点表記と公開モデルの起点一致を十分に確認できず
斑尾山,斑尾高原スキー場ルート,斑尾高原スキー場,斑尾山,130,斑尾高原スキー場の固定位置と公開登山モデル起点の一致が曖昧
焼山,焼山林道第2ゲート（焼山ルート起点）ルート,焼山林道第2ゲート（焼山ルート起点）,新潟焼山,380,登山口・林道規制の変動が大きく固定起点と標準CTの一致が不十分
焼山,金山登山口（小谷側）ルート,金山登山口（小谷側）,新潟焼山,340,登山口・林道規制の変動が大きく固定起点と標準CTの一致が不十分
毛勝山,片貝登山口（東又第五発電所登山口）ルート,片貝登山口（東又第五発電所登山口）,毛勝山,370,公開公式CTの起点が片貝山荘等で固定起点と一致しない
赤牛岳,折立登山口ルート,折立登山口,赤牛岳,530,折立からの超長距離縦走で単一標準CTとしての根拠が不足
餓鬼岳,中房登山口ルート,中房登山口,餓鬼岳,360,中房起点の公開標準CTを直接確認できず
安平路山,摺古木自然園入口ルート,摺古木自然園入口,安平路山,240,林道状況・起点条件が変動し公開標準CTとの一致が不十分
安平路山,大平宿（林道規制時起点）ルート,大平宿（林道規制時起点）,安平路山,440,林道状況・起点条件が変動し公開標準CTとの一致が不十分
和名倉山（白石山）,三ノ瀬（民宿みはらし）ルート,三ノ瀬（民宿みはらし）,和名倉山（白石山）,330,三ノ瀬からの長距離ルートで標準CT根拠が不足
箱根山,大涌谷登山口ルート,大涌谷登山口,箱根山,90,大涌谷〜神山側は通行規制が残り固定起点と現行一般ルートが不一致
鋸岳,北沢峠ルート,北沢峠,鋸岳,230,北沢峠起点は難路・縦走要素が強く標準CT根拠が不足
大無間山,田代・大無間山登山口ルート,田代・大無間山登山口,大無間山,420,公開往復標準は確認できるが登り片道の標準CTを直接確定できず
黒法師岳,戸中山林道ゲートルート,戸中山林道ゲート,黒法師岳,370,戸中山林道ゲート起点の現行標準CTを直接確認できず
大笠山,ブナオ峠（大笠山ルート）ルート,ブナオ峠（大笠山ルート）,大笠山,310,ブナオ峠起点は縦走・藪区間を含み標準CT根拠が不足
笈ヶ岳,中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート,中宮温泉ビジターセンター（笈ヶ岳ルート起点）,笈ヶ岳,310,一般登山道が乏しく残雪期登山中心
猿ヶ馬場山,村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）ルート,村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）,猿ヶ馬場山,150,残雪期ルート中心で無雪期の標準CTを置きにくい
護摩壇山,護摩壇山森林公園ワイルドライフルート,護摩壇山森林公園ワイルドライフ,護摩壇山,110,公開モデルは周回全体で、森林公園ワイルドライフ→山頂の片道CTを確定できず
桜島（御岳）,湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート,湯之平展望所（一般立入可能な最高地点・山頂入山不可）,桜島（御岳・北岳）,180,山頂入山不可。湯之平展望所を代替起点としている特殊ケース
