"category","mountain","hyakumeizan","course_or_relation","from","to","minutes","ct","mode","distance_km","via","source"
"representative","幌尻岳","yes","イドンナップ山荘駐車場（新冠陽希コース）ルート","イドンナップ山荘駐車場（新冠陽希コース）","幌尻岳","675","11:15","direct","","","YAMAP標準モデル・イドンナップ山荘駐車場→新冠ポロシリ山荘 6時間57分＋新冠ポロシリ山荘→幌尻岳 4時間18分＝11時間15分"
"representative","ペテガリ岳","no","神威山荘（ペテガリ岳アプローチ起点）ルート","神威山荘（ペテガリ岳アプローチ起点）","ペテガリ岳","650","10:50","direct","","","日本二百名山コースデータ・神威山荘→ペテガリ岳 参考タイム10時間50分"
"representative","飯豊山","yes","大日杉登山口ルート","大日杉登山口","飯豊山","608","10:08","direct","","","ヤマレコ・飯豊連峰縦走 p5526848（大日杉登山小屋→切合小屋445分 + 切合小屋→飯豊山163分）"
"representative","水晶岳（黒岳）","yes","折立登山口ルート","折立登山口","水晶岳（黒岳）","750","12:30","direct","","","公開登山ガイド・折立〜水晶岳 標準CT区間合算（12時間30分）"
"representative","水晶岳（黒岳）","yes","折立登山口ルート","水晶岳（黒岳）","折立登山口","680","11:20","direct","","","公開登山ガイド・水晶岳→祖父岳115分→アラスカ庭園115分→薬師沢125分→太郎平145分→折立180分（計11時間20分）"
"representative","鷲羽岳","yes","折立登山口ルート","折立登山口","鷲羽岳","880","14:40","direct","","","公開登山ガイド・折立〜雲ノ平〜祖父岳〜鷲羽岳 標準CT区間合算（14時間40分）"
"representative","鷲羽岳","yes","折立登山口ルート","鷲羽岳","折立登山口","730","12:10","estimated","","","推定CT（固定座標・標高差＋確認済みCT回帰）"
"representative","赤牛岳","no","折立登山口ルート","折立登山口","赤牛岳","960","16:00","direct","","","山旅旅・折立→雲ノ平→水晶岳→赤牛岳 標準区間合算16時間"
"representative","南駒ヶ岳","no","伊奈川ダム上登山口ルート","伊奈川ダム上登山口","南駒ヶ岳","627","10:27","direct","","","YAMAP標準モデル・伊奈川ダム駐車場→越百山→仙涯嶺→南駒ヶ岳（10時間27分）"
"representative","光岳","yes","沼平ゲートルート","沼平ゲート","光岳","685","11:25","direct","","","YAMAP・茶臼岳/光岳モデルコース（ゲート→光岳 標準CT区間合算）"
"mountain_hut_pair","妙高山","yes","trailhead-hut","燕温泉登山口","黒沢池ヒュッテ","715","11:55","composed","4.19","妙高山 → 笹ヶ峰登山口","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","妙高山","yes","hut-trailhead","黒沢池ヒュッテ","燕温泉登山口","600","10:00","composed","4.19","笹ヶ峰登山口 → 妙高山","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","鹿島槍ヶ岳","yes","hut-peak","種池山荘","鹿島槍ヶ岳","1242","20:42","composed","4.22","扇沢 → 針ノ木小屋 → 蓮華岳 → 扇沢登山口","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","鹿島槍ヶ岳","yes","trailhead-hut","扇沢登山口","種池山荘","1302","21:42","composed","3.54","針ノ木小屋 → 蓮華岳 → 扇沢登山口 → 鹿島槍ヶ岳 → 冷池山荘 → 爺ヶ岳","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","鹿島槍ヶ岳","yes","trailhead-hut","大谷原登山口","種池山荘","706","11:46","composed","6.03","鹿島槍ヶ岳 → 冷池山荘 → 爺ヶ岳","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","鹿島槍ヶ岳","yes","trailhead-hut","扇沢登山口","冷池山荘","1152","19:12","composed","5.52","針ノ木小屋 → 蓮華岳 → 扇沢登山口 → 鹿島槍ヶ岳","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","鹿島槍ヶ岳","yes","hut-trailhead","キレット小屋","扇沢登山口","600","10:00","composed","9.35","鹿島槍ヶ岳 → 冷池山荘 → 爺ヶ岳 → 種池山荘","白馬村公式観光サイト・モデルコース（確認済み区間合算・代表経路採用）"
"mountain_hut_pair","笠ヶ岳（岐阜）","yes","peak-hut","笠ヶ岳（岐阜）","わさび平小屋","852","14:12","composed","3.88","新穂高温泉 → 鏡平山荘","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","笠ヶ岳（岐阜）","yes","peak-hut","笠ヶ岳","わさび平小屋","887","14:47","composed","3.88","笠ヶ岳山荘 → 笠ヶ岳（岐阜） → 新穂高温泉 → 鏡平山荘","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","笠ヶ岳（岐阜）","yes","trailhead-hut","新穂高温泉","笠ヶ岳山荘","630","10:30","composed","3.87","鏡平山荘","双六小屋グループ（確認済み区間合算・代表経路採用）"
"mountain_hut_pair","笠ヶ岳（岐阜）","yes","hut-trailhead","笠ヶ岳山荘","新穂高温泉","1057","17:37","composed","3.87","笠ヶ岳 → 笠新道登山口 → 笠ヶ岳（岐阜）","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","peak-hut","槍ヶ岳","横尾山荘","660","11:00","composed","7.11","槍ヶ岳山荘 → 槍沢ロッヂ → 上高地","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","peak-hut","西岳","横尾山荘","928","15:28","composed","5.18","ヒュッテ西岳 → 大天井ヒュッテ → 大天荘 → 大天井岳 → 常念小屋 → 常念山頂 → 蝶ヶ岳","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","hut-peak","横尾山荘","西岳","1051","17:31","composed","5.18","涸沢ヒュッテ → 穂高岳山荘 → 北穂高小屋 → 南岳小屋 → 槍ヶ岳山荘 → ヒュッテ大槍 → 水俣乗越 → ヒュッテ西岳","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","trailhead-hut","新穂高温泉","横尾山荘","1140","19:00","composed","11.16","槍平小屋 → 槍ヶ岳山荘 → 槍沢ロッヂ → 上高地","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","hut-trailhead","横尾山荘","新穂高温泉","730","12:10","composed","11.16","槍沢ロッヂ → 槍ヶ岳山荘 → 槍平小屋","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","trailhead-hut","新穂高温泉","槍沢ロッヂ","720","12:00","composed","10.18","槍平小屋 → 槍ヶ岳山荘","北アルプス山小屋友交会（確認済み区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","hut-trailhead","槍沢ロッヂ","新穂高温泉","640","10:40","composed","10.18","槍ヶ岳山荘 → 槍平小屋","北アルプス山小屋友交会（確認済み区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","hut-peak","槍平小屋","西岳","1261","21:01","composed","4.7","新穂高温泉 → わさび平小屋 → 鏡平山荘 → 双六小屋 → 槍ヶ岳山荘 → ヒュッテ大槍 → 水俣乗越 → ヒュッテ西岳","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","trailhead-hut","上高地","槍平小屋","690","11:30","composed","8.53","槍沢ロッヂ → 槍ヶ岳山荘","北アルプス山小屋友交会（確認済み区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","hut-trailhead","槍平小屋","上高地","690","11:30","composed","8.53","槍ヶ岳山荘 → 槍沢ロッヂ","北アルプス山小屋友交会（確認済み区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","trailhead-hut","新穂高温泉","ヒュッテ西岳","1035","17:15","composed","10.94","わさび平小屋 → 鏡平山荘 → 双六小屋 → 槍ヶ岳山荘 → ヒュッテ大槍 → 水俣乗越","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","hut-trailhead","ヒュッテ西岳","新穂高温泉","616","10:16","composed","10.94","水俣乗越 → ヒュッテ大槍 → 槍ヶ岳山荘 → 槍平小屋","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","trailhead-hut","上高地","ヒュッテ西岳","1215","20:15","composed","10.67","横尾 → 涸沢ヒュッテ → 穂高岳山荘 → 北穂高小屋 → 南岳小屋 → 槍ヶ岳山荘 → ヒュッテ大槍 → 水俣乗越","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","hut-trailhead","ヒュッテ西岳","上高地","1250","20:50","composed","10.67","大天井ヒュッテ → 大天荘 → 大天井岳 → 常念小屋 → 常念山頂 → 蝶ヶ岳 → 横尾 → 槍沢ロッヂ","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","奥穂高岳","yes","peak-hut","奥穂高岳","横尾山荘","1140","19:00","composed","4.61","穂高岳山荘 → 北穂高小屋 → 南岳小屋 → 槍ヶ岳山荘 → 槍沢ロッヂ → 上高地","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","奥穂高岳","yes","hut-trailhead","涸沢ヒュッテ","上高地","950","15:50","composed","6.65","北穂高小屋 → 南岳小屋 → 槍ヶ岳山荘 → 槍沢ロッヂ","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","奥穂高岳","yes","hut-trailhead","穂高岳山荘","上高地","900","15:00","composed","5.5","北穂高小屋 → 南岳小屋 → 槍ヶ岳山荘 → 槍沢ロッヂ","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","間ノ岳","yes","trailhead-hut","広河原","熊ノ平小屋","680","11:20","composed","8.61","白根御池小屋 → 北岳肩の小屋 → 北岳 → 北岳山荘 → 間ノ岳","南アルプス市芦安山岳館（確認済み区間合算・代表経路採用）"
