トラテン 展開後代表コースCT監査 V1.4.232
========================================
mountains: 300
courses: 380
expanded directional segments: 901
verified/composed CT: 751
estimated CT: 134
derived intermediate-point CT: 16
CT missing: 0
route build errors: 0
point/segment alignment errors: 0

DERIVED | 高妻山 | 戸隠キャンプ場・高妻山登山者駐車場ルート | 戸隠キャンプ場・高妻山登山者駐車場 -> 一不動避難小屋 | 164min | 日本百名山登山コースデータ・高妻山 戸隠コース・代表コース中間地点按分
DERIVED | 高妻山 | 戸隠キャンプ場・高妻山登山者駐車場ルート | 一不動避難小屋 -> 高妻山 | 126min | 日本百名山登山コースデータ・高妻山 戸隠コース・代表コース中間地点按分
DERIVED | 妙高山 | 笹ヶ峰ルート | 笹ヶ峰登山口 -> 黒沢池ヒュッテ | 203min | 日本百名山登山コースデータ・妙高山 笹ヶ峰コース・代表コース中間地点按分
DERIVED | 妙高山 | 笹ヶ峰ルート | 黒沢池ヒュッテ -> 妙高山 | 87min | 日本百名山登山コースデータ・妙高山 笹ヶ峰コース・代表コース中間地点按分
DERIVED | 唐松岳 | 八方尾根ルート | 八方池山荘 -> 八方池 | 106min | 白馬村公式観光サイト・モデルコース（公式区間合算）・代表コース中間地点按分
DERIVED | 唐松岳 | 八方尾根ルート | 八方池 -> 唐松岳頂上山荘 | 144min | 白馬村公式観光サイト・モデルコース（公式区間合算）・代表コース中間地点按分
DERIVED | 常念岳 | 一ノ沢ルート | 一ノ沢登山口 -> 常念乗越 | 279min | 北アルプス山小屋友交会・常念小屋・代表コース中間地点按分
DERIVED | 常念岳 | 一ノ沢ルート | 常念乗越 -> 常念小屋 | 21min | 北アルプス山小屋友交会・常念小屋・代表コース中間地点按分
DERIVED | 槍ヶ岳 | 上高地・槍沢ルート | 槍沢ロッヂ -> ババ平（槍沢キャンプ場） | 46min | 北アルプス山小屋友交会・槍沢ロッヂ・代表コース中間地点按分
DERIVED | 槍ヶ岳 | 上高地・槍沢ルート | ババ平（槍沢キャンプ場） -> 大曲（水俣乗越分岐） | 52min | 北アルプス山小屋友交会・槍沢ロッヂ・代表コース中間地点按分
DERIVED | 槍ヶ岳 | 上高地・槍沢ルート | 大曲（水俣乗越分岐） -> 天狗原分岐 | 61min | 北アルプス山小屋友交会・槍沢ロッヂ・代表コース中間地点按分
DERIVED | 槍ヶ岳 | 上高地・槍沢ルート | 天狗原分岐 -> 槍ヶ岳山荘 | 121min | 北アルプス山小屋友交会・槍沢ロッヂ・代表コース中間地点按分
DERIVED | 木曽駒ヶ岳 | 千畳敷ルート | 千畳敷 -> 乗越浄土 | 63min | 中央アルプス駒ヶ岳ロープウェイ・登山コース（公式区間合算）・代表コース中間地点按分
DERIVED | 木曽駒ヶ岳 | 千畳敷ルート | 乗越浄土 -> 木曽駒ヶ岳 | 57min | 中央アルプス駒ヶ岳ロープウェイ・登山コース（公式区間合算）・代表コース中間地点按分
DERIVED | 白木峰 | 白木峰8合目駐車場ルート | 白木峰8合目駐車場 -> 白木山荘（避難小屋） | 46min | 富山市公式・白木峰 登山道ルート・代表コース中間地点按分
DERIVED | 白木峰 | 白木峰8合目駐車場ルート | 白木山荘（避難小屋） -> 白木峰 | 14min | 富山市公式・白木峰 登山道ルート・代表コース中間地点按分
